,HBA,HBD,HBA+HBD,NumRings,RTB,NumAmideBonds,Globularity,PBF,TPSA,logP,MR,MW,Csp3,fmf,QED,HAC,NumRingsFused,unique_HBAD,max_ring_size,n_chiral_centers,fcsp3_bm,formal_charge,abs_charge
861,3,0,3,1,6,0,0.6098493788410934,0.8891174457516207,67.22,2.3843000000000005,52.50200000000003,193.2060000000001,0.3333333333333333,0.42857142857142855,0.3115845610377149,14,1,3,6,0,0.0,0,0
862,3,1,4,0,8,1,0.5468745851403599,0.8506846950688547,87.09,2.379200000000001,57.41170000000004,212.25300000000016,0.6666666666666666,0.0,0.21996425893787794,15,0,4,0,0,0.0,0,0
863,4,1,5,0,4,0,0.5827160331157853,0.8295657260712543,95.29,0.9992999999999999,45.86480000000003,187.19900000000013,0.8571428571428571,0.0,0.3087059288162553,13,0,4,0,1,0.0,0,0
864,3,0,3,0,7,0,0.5838640972191468,0.9467978229097335,75.06,2.0301,44.49700000000002,171.2000000000001,0.8571428571428571,0.0,0.20142095987934955,12,0,3,0,0,0.0,0,0
865,5,0,5,0,6,0,0.6094720481382575,0.9008465634442139,101.36000000000001,0.40139999999999987,41.58300000000002,187.15500000000006,0.6666666666666666,0.0,0.2748308681080165,13,0,5,0,1,0.0,0,0
866,2,1,3,1,5,0,0.5676608400092729,0.8972266220493476,68.99000000000001,2.628000000000001,51.21180000000004,183.25500000000014,1.0,0.46153846153846156,0.40599412383683825,13,1,2,6,1,1.0,0,0
867,4,1,5,1,6,0,0.5905481270782739,0.9303141957241529,95.29,1.9667,56.66780000000003,221.2160000000001,0.3,0.375,0.4514802492486297,16,1,4,6,1,0.0,0,0
868,2,0,2,3,7,0,0.5070659664897493,1.7349768552674387,48.760000000000005,6.022000000000005,105.67900000000003,345.4709999999997,0.14285714285714285,0.76,0.16967945147211083,25,3,2,6,0,0.05263157894736842,0,0
869,5,1,6,0,5,1,0.5446440838226665,1.0559996693207687,113.39000000000001,1.363,59.18670000000003,244.25100000000015,0.7777777777777778,0.0,0.34777010452264195,17,0,6,0,1,0.0,0,0
870,3,1,4,0,7,1,0.5632141933648587,0.7979649250407729,87.09,1.9891,52.79470000000003,198.2260000000001,0.625,0.0,0.22275405002461984,14,0,4,0,0,0.0,0,0
871,3,0,3,0,7,0,0.5823793813034248,0.7530717980925571,75.06,2.0301,44.49700000000002,171.2000000000001,0.8571428571428571,0.0,0.20142095987934958,12,0,3,0,0,0.0,0,0
872,1,0,1,1,5,0,0.6094053925352014,0.7913729053041679,48.760000000000005,4.060220000000003,54.07400000000003,175.23500000000013,0.4,0.46153846153846156,0.36948267994343675,13,1,1,6,0,0.0,0,0
873,1,0,1,1,1,0,0.7075492225193177,0.7523365668579926,48.760000000000005,3.6472000000000007,40.250000000000014,187.12400000000002,0.14285714285714285,0.46153846153846156,0.36574621170056054,13,1,1,6,0,0.0,0,0
874,1,0,1,2,3,0,0.6184723830587894,1.3109011555147185,48.760000000000005,4.739700000000003,68.88300000000004,243.69700000000006,0.07692307692307693,0.7647058823529411,0.42475498008387885,17,2,1,6,1,0.07692307692307693,0,0
